index,connection,timestamps,sizes,directions,file_name
73,"('10.184.62.19', 50898, '10.10.1.5', 53, 'UDP')",1727357863.197780,[70],[0],streaming_spotify.pcap
74,"('10.184.62.19', 61301, '35.186.224.24', 443, 'TCP')","1727357863.198107,1727357863.202676,1727357863.203025,1727357863.203025,1727357863.203025,1727357863.203025,1727357863.210171,1727357863.210700,1727357863.215937,1727357863.565307,1727357863.565419,1727357863.565449,1727357863.575291,1727357863.606555,1727357863.686989,1727357863.688241,1727357863.700222,1727357863.733394,1727357863.820002,1727357863.820224,1727357863.820473,1727357863.955323,1727357863.955518,1727357863.955600,1727357864.080208,1727357864.080325,1727357877.267443,1727357877.272391","[66, 54, 590, 590, 590, 177, 54, 118, 54, 146, 85, 505, 135, 135, 93, 427, 93, 93, 54, 93, 129, 54, 129, 93, 54, 93, 54, 54]","[0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1]",streaming_spotify.pcap
75,"('10.184.62.19', 52064, '10.10.1.5', 53, 'UDP')",1727357863.198531,[77],[0],streaming_spotify.pcap
76,"('35.186.224.24', 443, '10.184.62.19', 61300, 'TCP')","1727357863.202607,1727357863.207786,1727357863.207786,1727357863.207786,1727357863.207786,1727357863.211809,1727357863.211809,1727357863.211809,1727357863.211809,1727357863.211809,1727357863.211809,1727357863.211809,1727357863.217723,1727357863.217723,1727357870.398660,1727357870.398660,1727357870.512400,1727357870.518743,1727357870.523866,1727357870.750200,1727357870.754059,1727357870.754059,1727357870.754059,1727357870.754059,1727357870.754059,1727357870.754059,1727357870.754615,1727357870.754615,1727357870.754615,1727357870.756967,1727357870.758256,1727357870.758256,1727357870.758256,1727357870.758256,1727357870.763379,1727357877.273372","[66, 54, 54, 54, 54, 590, 590, 590, 494, 590, 590, 391, 590, 136, 54, 85, 489, 54, 54, 254, 590, 590, 590, 590, 590, 590, 590, 590, 84, 590, 590, 590, 549, 93, 54, 54]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0]",streaming_spotify.pcap
77,"('35.186.224.24', 443, '10.184.62.19', 61301, 'TCP')","1727357863.202607,1727357863.207245,1727357863.207245,1727357863.207245,1727357863.207245,1727357863.210108,1727357863.210108,1727357863.210108,1727357863.210108,1727357863.210108,1727357863.210108,1727357863.210108,1727357863.215913,1727357863.215913,1727357863.570339,1727357863.570339,1727357863.576023,1727357863.579809,1727357863.611628,1727357863.686880,1727357863.691735,1727357863.692768,1727357863.700105,1727357863.710514,1727357863.733231,1727357863.742623,1727357863.819383,1727357863.819981,1727357863.819981,1727357863.824606,1727357863.825742,1727357863.954556,1727357863.955284,1727357863.955483,1727357863.960182,1727357863.960182,1727357864.078349,1727357864.080183,1727357864.080183,1727357864.084648,1727357877.272268","[66, 54, 54, 54, 54, 590, 590, 590, 494, 590, 590, 391, 590, 136, 54, 85, 54, 54, 54, 354, 54, 54, 141, 54, 141, 54, 159, 410, 93, 54, 54, 122, 282, 93, 54, 54, 125, 238, 93, 54, 54]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0]",streaming_spotify.pcap
78,"('10.10.1.5', 53, '10.184.62.19', 54641, 'UDP')",1727357863.221284,[132],[1],streaming_spotify.pcap
79,"('10.10.1.5', 53, '10.184.62.19', 56437, 'UDP')",1727357863.223601,[170],[1],streaming_spotify.pcap
80,"('10.10.1.5', 53, '10.184.62.19', 50458, 'UDP')",1727357863.223601,[83],[1],streaming_spotify.pcap
81,"('10.184.62.19', 61303, '35.186.224.24', 443, 'TCP')","1727357863.224430,1727357863.229684,1727357863.230163,1727357863.230163,1727357863.230163,1727357863.230163,1727357863.239251,1727357863.274006,1727357863.279481,1727357864.126865,1727357864.127061,1727357864.127098,1727357864.176017,1727357864.249265,1727357869.949411,1727357869.950481,1727357869.953610,1727357870.074638,1727357870.075316,1727357870.082457,1727357870.082457,1727357870.083103,1727357870.216117,1727357870.216177,1727357870.216200,1727357870.217093,1727357877.267369,1727357877.273425","[66, 54, 590, 590, 590, 179, 54, 118, 54, 146, 85, 518, 54, 93, 183, 164, 164, 54, 93, 590, 276, 175, 54, 89, 93, 54, 54, 54]","[0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1]",streaming_spotify.pcap
82,"('10.184.62.19', 51484, '10.10.1.5', 53, 'UDP')",1727357863.224621,[84],[0],streaming_spotify.pcap
83,"('10.184.62.19', 59466, '10.10.1.5', 53, 'UDP')",1727357863.224704,[84],[0],streaming_spotify.pcap
84,"('10.10.1.5', 53, '10.184.62.19', 61913, 'UDP')",1727357863.225912,[80],[1],streaming_spotify.pcap
85,"('35.186.224.24', 443, '10.184.62.19', 61303, 'TCP')","1727357863.229650,1727357863.235152,1727357863.235152,1727357863.235152,1727357863.235152,1727357863.239212,1727357863.239212,1727357863.239212,1727357863.239212,1727357863.239212,1727357863.239212,1727357863.239212,1727357863.279404,1727357863.279404,1727357864.131904,1727357864.132846,1727357864.249041,1727357864.258605,1727357869.958759,1727357869.958759,1727357869.958759,1727357870.074582,1727357870.074582,1727357870.074582,1727357870.080217,1727357870.088399,1727357870.088399,1727357870.088399,1727357870.215566,1727357870.216095,1727357870.216095,1727357870.217066,1727357870.221750,1727357870.221750,1727357877.273372","[66, 54, 54, 54, 54, 590, 590, 590, 494, 590, 590, 398, 590, 136, 85, 54, 511, 54, 54, 54, 54, 138, 121, 121, 54, 54, 54, 54, 179, 216, 93, 491, 54, 54, 54]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0]",streaming_spotify.pcap
86,"('10.10.1.5', 53, '10.184.62.19', 60751, 'UDP')",1727357863.229650,[145],[1],streaming_spotify.pcap
87,"('10.10.1.5', 53, '10.184.62.19', 52064, 'UDP')",1727357863.232367,[126],[1],streaming_spotify.pcap
88,"('10.10.1.5', 53, '10.184.62.19', 50898, 'UDP')",1727357863.232367,[70],[1],streaming_spotify.pcap
89,"('10.10.1.5', 53, '10.184.62.19', 59466, 'UDP')",1727357863.254109,[84],[1],streaming_spotify.pcap
